img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2007/JPEGImages/007457.jpg,"[7, 11]","[[139.0, 3.0, 361.0, 328.0], [89.0, 134.0, 45.0, 182.0]]"
VOCdevkit/VOC2007/JPEGImages/000831.jpg,[14],"[[83.0, 124.0, 156.0, 253.0]]"
VOCdevkit/VOC2007/JPEGImages/005405.jpg,[7],"[[71.0, 151.0, 205.0, 250.0]]"
VOCdevkit/VOC2007/JPEGImages/005191.jpg,"[12, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[[62.0, 128.0, 438.0, 157.0], [33.0, 206.0, 412.0, 169.0], [470.0, 125.0, 30.0, 59.0], [381.0, 120.0, 52.0, 38.0], [205.0, 108.0, 44.0, 26.0], [24.0, 143.0, 61.0, 80.0], [99.0, 144.0, 52.0, 72.0], [160.0, 142.0, 50.0, 66.0], [207.0, 126.0, 38.0, 97.0], [237.0, 127.0, 31.0, 103.0], [254.0, 131.0, 38.0, 111.0], [282.0, 142.0, 76.0, 136.0], [347.0, 153.0, 79.0, 177.0], [414.0, 171.0, 86.0, 203.0], [340.0, 230.0, 111.0, 114.0], [271.0, 213.0, 65.0, 63.0]]"
VOCdevkit/VOC2007/JPEGImages/001043.jpg,[5],"[[61.0, 9.0, 421.0, 300.0]]"
VOCdevkit/VOC2007/JPEGImages/003497.jpg,"[14, 14]","[[25.0, 101.0, 332.0, 153.0], [404.0, 140.0, 96.0, 31.0]]"
VOCdevkit/VOC2007/JPEGImages/009887.jpg,"[0, 0]","[[267.0, 276.0, 33.0, 47.0], [222.0, 261.0, 43.0, 55.0]]"
VOCdevkit/VOC2007/JPEGImages/003017.jpg,"[1, 7]","[[139.0, 117.0, 314.0, 184.0], [174.0, 99.0, 135.0, 135.0]]"
VOCdevkit/VOC2007/JPEGImages/005981.jpg,"[19, 19]","[[244.0, 130.0, 160.0, 245.0], [69.0, 73.0, 136.0, 80.0]]"
VOCdevkit/VOC2007/JPEGImages/000554.jpg,"[7, 8, 15, 15, 15, 15, 15]","[[118.0, 77.0, 142.0, 227.0], [2.0, 189.0, 498.0, 186.0], [275.0, 67.0, 93.0, 34.0], [316.0, 77.0, 120.0, 40.0], [266.0, 95.0, 131.0, 47.0], [91.0, 73.0, 88.0, 38.0], [344.0, 117.0, 89.0, 48.0]]"
VOCdevkit/VOC2007/JPEGImages/004549.jpg,"[16, 6, 8]","[[139.0, 112.0, 88.0, 78.0], [354.0, 147.0, 145.0, 123.0], [2.0, 280.0, 498.0, 95.0]]"
VOCdevkit/VOC2007/JPEGImages/000834.jpg,"[19, 19, 19, 19, 19, 7]","[[304.0, 85.0, 65.0, 40.0], [249.0, 72.0, 64.0, 30.0], [10.0, 96.0, 90.0, 58.0], [69.0, 123.0, 108.0, 51.0], [64.0, 95.0, 81.0, 26.0], [98.0, 245.0, 292.0, 130.0]]"
VOCdevkit/VOC2007/JPEGImages/002384.jpg,"[7, 10]","[[43.0, 64.0, 255.0, 304.0], [210.0, 110.0, 232.0, 259.0]]"
